Unemployment Rate (percent),,None.1,None.2,None.3,None.4,None.5,None.6,None.7,None.8,Unnamed: 10,Unnamed: 11
2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,,Median Household Income (2016),% of State Median HH Income
7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,,56583,1
8.7,8.1,7.3,6.3,5.8,4.7,3.9,4.3,3.6,,43967,0.777035505363802
7.0,6.2,5.0,4.0,3.8,3.0,3.5,4.7,3.1,,60644,1.07177067317039
8.2,8.5,7.9,6.9,6.5,5.2,5.6,5.9,5.1,,43658,0.771574501175265
6.8,9.2,8.8,7.0,6.6,5.5,5.1,5.6,6.8,,44866,0.79292366965343
5.9,6.7,6.1,5.5,5.2,4.5,4.4,4.3,3.4,,58928,1.04144354311366
4.5,4.9,4.8,4.5,4.0,3.2,2.7,2.8,2.5,,54868,0.969690543095983
7.4,8.2,8.0,6.7,6.2,4.9,4.8,5.3,4.2,,53622,0.947669794814697
7.3,8.0,7.9,6.4,5.9,4.8,4.6,5.3,4.3,,55973,0.989219376844635
5.6,7.9,7.5,6.9,7.2,5.0,4.3,4.4,4.3,,40536,0.716398918403054
6.5,7.8,7.5,6.6,6.0,4.8,4.0,4.1,3.6,,55885,0.987664139405829
7.9,8.2,7.9,6.7,6.2,4.9,3.9,3.7,3.5,,56449,0.997631797536363
5.6,7.0,6.0,5.1,5.3,4.2,3.5,3.6,3.4,,36616,0.647120159765301
9.0,8.9,8.6,7.0,6.6,5.8,6.2,7.5,6.4,,40753,0.72023399254193
6.7,7.7,8.0,7.4,6.9,5.8,4.6,4.5,4.2,,51993,0.918880229044059
6.7,7.3,7.2,6.3,5.8,4.7,3.8,3.7,3.5,,53170,0.939681529788099
5.2,6.0,5.7,5.2,4.7,3.6,3.1,3.1,2.7,,57634,1.01857448350211
5.4,6.4,5.4,4.3,4.1,3.1,2.9,3.6,3.5,,60306,1.06579714755315
7.8,8.8,8.3,7.2,6.5,5.2,4.5,4.3,4.0,,47636,0.841878302670413
6.6,8.4,8.3,7.4,7.6,6.3,4.8,4.7,4.5,,45455,0.803333156601806
8.1,8.5,8.0,6.7,6.1,5.1,4.6,5.2,5.3,,74510,1.31682660869873
5.5,6.3,6.0,5.3,4.9,4.0,3.3,3.5,3.1,,42279,0.747203223583055
5.1,5.5,5.6,5.1,5.6,4.6,3.9,3.8,3.5,,43055,0.760917590088896
5.0,6.1,6.1,5.4,5.6,4.2,3.9,4.4,4.3,,43376,0.766590672109998
9.3,12.0,10.6,8.7,9.0,7.7,9.9,11.8,8.2,,27703,0.48959934962798
6.8,8.2,8.0,6.8,6.5,5.2,4.3,4.3,3.8,,43770,0.773553894279201
6.9,7.9,7.3,6.3,6.2,4.8,4.3,4.6,4.1,,48533,0.857731120654614
6.1,6.8,6.7,6.0,5.5,4.3,3.6,3.5,3.2,,55919,0.988265026598095
8.3,8.6,8.4,7.2,6.6,5.2,4.3,4.3,3.9,,49598,0.876553028294717
