country_code,rank,country,gdp
USA,1,United States,19390604.0
CHN,2,China,12237700.0
JPN,3,Japan,4872137.0
DEU,4,Germany,3677439.0
GBR,5,United Kingdom,2622434.0
IND,6,India,2597491.0
FRA,7,France,2582501.0
BRA,8,Brazil,2055506.0
ITA,9,Italy,1934798.0
CAN,10,Canada,1653043.0
RUS,11,Russian Federation,1577524.0
KOR,12,"Korea, Rep.",1530751.0
AUS,13,Australia,1323421.0
ESP,14,Spain,1311320.0
MEX,15,Mexico,1149919.0
IDN,16,Indonesia,1015539.0
TUR,17,Turkey,851102.0
NLD,18,Netherlands,826200.0
SAU,19,Saudi Arabia,683827.0
CHE,20,Switzerland,678887.0
ARG,21,Argentina,637590.0
SWE,22,Sweden,538040.0
POL,23,Poland,524510.0
BEL,24,Belgium,492681.0
THA,25,Thailand,455221.0
IRN,26,"Iran, Islamic Rep.",439514.0
AUT,27,Austria,416596.0
NOR,28,Norway,398832.0
ARE,29,United Arab Emirates,382575.0
NGA,30,Nigeria,375771.0
ISR,31,Israel,350851.0
ZAF,32,South Africa,349419.0
HKG,33,"Hong Kong SAR, China",341449.0
IRL,34,Ireland,333731.0
DNK,35,Denmark,324872.0
SGP,36,Singapore,323907.0
MYS,37,Malaysia,314500.0
PHL,38,Philippines,313595.0
COL,39,Colombia,309191.0
PAK,40,Pakistan,304952.0
CHL,41,Chile,277076.0
FIN,42,Finland,251885.0
BGD,43,Bangladesh,249724.0
EGY,44,"Egypt, Arab Rep.",235369.0
VNM,45,Vietnam,223864.0
PRT,46,Portugal,217571.0
CZE,47,Czech Republic,215726.0
ROU,48,Romania,211803.0
PER,49,Peru,211389.0
NZL,50,New Zealand,205853.0
GRC,51,Greece,200288.0
IRQ,52,Iraq,197716.0
DZA,53,Algeria,170371.0
QAT,54,Qatar,167605.0
KAZ,55,Kazakhstan,159407.0
HUN,56,Hungary,139135.0
AGO,57,Angola,124209.0
KWT,58,Kuwait,120126.0
SDN,59,Sudan,117488.0
UKR,60,Ukraine,112154.0
MAR,61,Morocco,109139.0
