Host_Country,2017,Year,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp,gdp_per_capita
Albania,2873457.0,2017.0,Syrian Arab Rep.,,22.0,,,,,,25.0,ALB,126.0,13039.0,4537.74
United Arab Emirates,9400145.0,2017.0,Syrian Arab Rep.,128.0,1185.0,,,,,,1313.0,ARE,29.0,382575.0,40698.84
Argentina,44271041.0,2017.0,Syrian Arab Rep.,370.0,84.0,,,,,348.0,802.0,ARG,21.0,637590.0,14401.97
Armenia,2930450.0,2017.0,Syrian Arab Rep.,14680.0,12.0,,,,,,14692.0,ARM,133.0,11537.0,3936.94
Australia,24598933.0,2017.0,Syrian Arab Rep.,477.0,130.0,,,,,,607.0,AUS,13.0,1323421.0,53799.94
Austria,8809212.0,2017.0,Syrian Arab Rep.,43888.0,3937.0,,,,,,47825.0,AUT,27.0,416596.0,47290.95
Azerbaijan,9862429.0,2017.0,Syrian Arab Rep.,15.0,,,,,,,17.0,AZE,90.0,40748.0,4131.64
Belgium,11372068.0,2017.0,Syrian Arab Rep.,9080.0,1665.0,,,,,,10745.0,BEL,24.0,492681.0,43323.78
Benin,11175692.0,2017.0,Syrian Arab Rep.,7.0,,,,,,,10.0,BEN,139.0,9274.0,829.84
Bulgaria,7075991.0,2017.0,Syrian Arab Rep.,16549.0,407.0,,,,,,16956.0,BGR,76.0,56832.0,8031.67
Bosnia and Herzegovina,3507017.0,2017.0,Syrian Arab Rep.,15.0,13.0,,,,,,28.0,BIH,113.0,18169.0,5180.76
Belarus,9507875.0,2017.0,Syrian Arab Rep.,87.0,,,,,,,87.0,BLR,79.0,54442.0,5725.99
Brazil,209288278.0,2017.0,Syrian Arab Rep.,2905.0,4522.0,,,,,,7427.0,BRA,8.0,2055506.0,9821.41
Canada,36708083.0,2017.0,Syrian Arab Rep.,3095.0,806.0,,,,,,3901.0,CAN,10.0,1653043.0,45032.13
Switzerland,8466017.0,2017.0,Syrian Arab Rep.,13639.0,3192.0,,,,,,16831.0,CHE,20.0,678887.0,80189.66
Chile,18054726.0,2017.0,Syrian Arab Rep.,85.0,42.0,,,,,,127.0,CHL,41.0,277076.0,15346.45
China,1386395000.0,2017.0,Syrian Arab Rep.,42.0,32.0,,,,,,74.0,CHN,2.0,12237700.0,8826.99
Cameroon,24053727.0,2017.0,Syrian Arab Rep.,15.0,9.0,,,,,,24.0,CMR,97.0,34799.0,1446.72
Colombia,49065615.0,2017.0,Syrian Arab Rep.,8.0,,,,,,,12.0,COL,39.0,309191.0,6301.58
Costa Rica,4905769.0,2017.0,Syrian Arab Rep.,9.0,9.0,,,,,,18.0,CRI,75.0,57057.0,11630.59
Cuba,11484636.0,2017.0,Syrian Arab Rep.,43.0,,,,,,,43.0,CUB,66.0,87133.0,7586.92
