Year,Host_Country,Origin,Refugees,Asylum-seekers,Returned refugees,Internally_Displaced_Persons_(IDPs),Returned_IDPs,Stateless persons,Others_of_concern,Total_Population,country_code,rank,gdp
2017.0,Albania,Syrian Arab Rep.,,22.0,,,,,,25.0,ALB,126.0,13039.0
2017.0,United Arab Emirates,Syrian Arab Rep.,128.0,1185.0,,,,,,1313.0,ARE,29.0,382575.0
2017.0,Argentina,Syrian Arab Rep.,370.0,84.0,,,,,348.0,802.0,ARG,21.0,637590.0
2017.0,Armenia,Syrian Arab Rep.,14680.0,12.0,,,,,,14692.0,ARM,133.0,11537.0
2017.0,Australia,Syrian Arab Rep.,477.0,130.0,,,,,,607.0,AUS,13.0,1323421.0
2017.0,Austria,Syrian Arab Rep.,43888.0,3937.0,,,,,,47825.0,AUT,27.0,416596.0
2017.0,Azerbaijan,Syrian Arab Rep.,15.0,,,,,,,17.0,AZE,90.0,40748.0
2017.0,Belgium,Syrian Arab Rep.,9080.0,1665.0,,,,,,10745.0,BEL,24.0,492681.0
2017.0,Benin,Syrian Arab Rep.,7.0,,,,,,,10.0,BEN,139.0,9274.0
2017.0,Bulgaria,Syrian Arab Rep.,16549.0,407.0,,,,,,16956.0,BGR,76.0,56832.0
2017.0,Bosnia and Herzegovina,Syrian Arab Rep.,15.0,13.0,,,,,,28.0,BIH,113.0,18169.0
2017.0,Belarus,Syrian Arab Rep.,87.0,,,,,,,87.0,BLR,79.0,54442.0
2017.0,Bolivia (Plurinational State of),Syrian Arab Rep.,13.0,,,,,,,13.0,,,
2017.0,Brazil,Syrian Arab Rep.,2905.0,4522.0,,,,,,7427.0,BRA,8.0,2055506.0
2017.0,Canada,Syrian Arab Rep.,3095.0,806.0,,,,,,3901.0,CAN,10.0,1653043.0
2017.0,Switzerland,Syrian Arab Rep.,13639.0,3192.0,,,,,,16831.0,CHE,20.0,678887.0
2017.0,Chile,Syrian Arab Rep.,85.0,42.0,,,,,,127.0,CHL,41.0,277076.0
2017.0,China,Syrian Arab Rep.,42.0,32.0,,,,,,74.0,CHN,2.0,12237700.0
2017.0,Côte d'Ivoire,Syrian Arab Rep.,12.0,9.0,,,,,,21.0,CIV,91.0,40389.0
2017.0,Cameroon,Syrian Arab Rep.,15.0,9.0,,,,,,24.0,CMR,97.0,34799.0
2017.0,Dem. Rep. of the Congo,Syrian Arab Rep.,8.0,20.0,,,,,,28.0,,,
2017.0,Congo,Syrian Arab Rep.,9.0,12.0,,,,,,22.0,,,
2017.0,Colombia,Syrian Arab Rep.,8.0,,,,,,,12.0,COL,39.0,309191.0
2017.0,Costa Rica,Syrian Arab Rep.,9.0,9.0,,,,,,18.0,CRI,75.0,57057.0
2017.0,Cuba,Syrian Arab Rep.,43.0,,,,,,,43.0,CUB,66.0,87133.0
2017.0,Cyprus,Syrian Arab Rep.,5274.0,1585.0,,,,,6000.0,12859.0,CYP,109.0,21652.0
2017.0,Czech Rep.,Syrian Arab Rep.,365.0,38.0,,,,,,403.0,,,
2017.0,Germany,Syrian Arab Rep.,496674.0,70833.0,,,,,,567507.0,DEU,4.0,3677439.0
2017.0,Djibouti,Syrian Arab Rep.,9.0,,,,,,,10.0,DJI,174.0,1845.0
2017.0,Denmark,Syrian Arab Rep.,19221.0,285.0,,,,,,19506.0,DNK,35.0,324872.0
2017.0,Dominican Rep.,Syrian Arab Rep.,,6.0,,,,,,7.0,,,
2017.0,Algeria,Syrian Arab Rep.,8.0,5821.0,,,,,,5829.0,DZA,53.0,170371.0
2017.0,Ecuador,Syrian Arab Rep.,39.0,115.0,,,,,,154.0,ECU,63.0,103057.0
2017.0,Egypt,Syrian Arab Rep.,126688.0,,,,,,,126688.0,,,
2017.0,Spain,Syrian Arab Rep.,11752.0,2255.0,,,,,,14007.0,ESP,14.0,1311320.0
