AGE,RACE,GANG_NAME,FACTION_NAME,BEAT_FIRST_ARREST,FIRST_ARREST
24.0,White Hispanic,35Th Street Crew,,922.0,2007-05-01
25.0,White,35Th Street Crew,,922.0,2007-04-01
22.0,White,Almighty Popes,,811.0,2013-11-01
23.0,White,Almighty Popes,51ST AND LOREL,811.0,2009-01-01
23.0,White,Almighty Popes,51ST AND LOREL,,2009-04-01
24.0,White,Almighty Popes,,,2008-01-01
25.0,White,Almighty Popes,,,2009-08-01
26.0,White,Almighty Popes,,814.0,2004-12-01
28.0,White,Almighty Popes,,,2004-12-01
29.0,Black Hispanic,Almighty Popes,51ST AND LOREL,,2006-10-01
29.0,White,Almighty Popes,51ST AND LOREL,812.0,2007-01-01
31.0,White,Almighty Popes,,1732.0,2000-09-01
31.0,White,Almighty Popes,,,2005-02-01
31.0,White,Almighty Popes,,,2005-02-01
31.0,White,Almighty Popes,,815.0,2000-09-01
32.0,White,Almighty Popes,51ST AND LOREL,913.0,1999-07-01
33.0,White,Almighty Popes,51ST AND LOREL,815.0,2000-09-01
34.0,White,Almighty Popes,,1012.0,2015-09-01
34.0,White,Almighty Popes,,823.0,2000-04-01
35.0,White,Almighty Popes,,922.0,1999-07-01
37.0,White,Almighty Popes,51ST AND LOREL,811.0,1997-09-01
37.0,White Hispanic,Almighty Popes,51ST AND LOREL,913.0,2003-11-01
38.0,White,Almighty Popes,,,2001-02-01
40.0,White,Almighty Popes,51ST AND LOREL,1623.0,1995-07-01
41.0,White,Almighty Popes,,2113.0,2006-09-01
41.0,White,Almighty Popes,,,1996-08-01
42.0,White,Almighty Popes,,,1993-05-01
43.0,White,Dc Eagles,,2514.0,1994-01-01
44.0,White,Dc Eagles,,2533.0,1993-11-01
24.0,White,Gaylords,,1622.0,2006-03-01
24.0,White,Gaylords,,,2011-03-01
27.0,White,Gaylords,,,2008-10-01
27.0,White,Gaylords,KILBOURN PARK,2322.0,2006-06-01
28.0,White,Gaylords,,1612.0,2005-01-01
29.0,White,Gaylords,KILBOURN PARK,,2007-05-01
29.0,White,Gaylords,,1612.0,2003-01-01
29.0,White,Gaylords,KILBOURN PARK,1912.0,2006-11-01
29.0,White,Gaylords,,1611.0,2002-07-01
29.0,Black,Gaylords,,422.0,2012-04-01
29.0,White Hispanic,Gaylords,,2412.0,2003-10-01
30.0,White,Gaylords,,1634.0,2004-09-01
30.0,White,Gaylords,,2213.0,2005-10-01
30.0,White,Gaylords,,,2012-07-01
30.0,White,Gaylords,,1622.0,2003-07-01
32.0,White,Gaylords,,2032.0,2002-05-01
32.0,White,Gaylords,,,2005-04-01
32.0,Black,Gaylords,,,2002-06-01
32.0,White,Gaylords,,,2004-07-01
33.0,White,Gaylords,,1924.0,1999-01-01
34.0,White,Gaylords,,1722.0,2005-12-01
34.0,White,Gaylords,,1923.0,2000-11-01
34.0,White,Gaylords,,1632.0,1999-02-01
34.0,Unknown,Gaylords,,,1987-09-01
35.0,White,Gaylords,KILBOURN PARK,2213.0,2000-05-01
35.0,White,Gaylords,KILBOURN PARK,,2001-01-01
35.0,White,Gaylords,KILBOURN PARK,2432.0,1999-08-01
36.0,White,Gaylords,,433.0,2000-12-01
36.0,White,Gaylords,KILBOURN PARK,1231.0,2000-06-01
36.0,White,Gaylords,,1623.0,1999-01-01
36.0,White,Gaylords,,2012.0,1998-01-01
36.0,White,Gaylords,,2311.0,1998-06-01
36.0,White,Gaylords,,1511.0,2001-12-01
37.0,White,Gaylords,,,2002-02-01
37.0,Black,Gaylords,,2032.0,1997-08-01
37.0,White Hispanic,Gaylords,,2311.0,1998-06-01
37.0,White,Gaylords,,1913.0,2007-06-01
37.0,White,Gaylords,,1531.0,2000-01-01
38.0,White,Gaylords,,1731.0,1996-06-01
38.0,White,Gaylords,KILBOURN PARK,,2002-06-01
38.0,White,Gaylords,,1651.0,2000-10-01
38.0,White,Gaylords,,1713.0,1996-12-01
39.0,White,Gaylords,,2515.0,1993-09-01
40.0,White,Gaylords,,2012.0,1994-02-01
40.0,White,Gaylords,,1811.0,2000-01-01
40.0,White,Gaylords,KILBOURN PARK,,1991-09-01
40.0,White Hispanic,Gaylords,,1731.0,1995-06-01
40.0,White,Gaylords,,1731.0,1994-07-01
40.0,White,Gaylords,,2212.0,2000-12-01
41.0,White Hispanic,Gaylords,,1434.0,1993-07-01
41.0,White,Gaylords,,1722.0,1994-08-01
41.0,Black,Gaylords,,,1993-02-01
41.0,White,Gaylords,KILBOURN PARK,2033.0,1996-01-01
41.0,White,Gaylords,,1622.0,1993-08-01
41.0,White,Gaylords,,,1992-12-01
41.0,White,Gaylords,,2031.0,2000-04-01
41.0,Black,Gaylords,KILBOURN PARK,1224.0,1994-11-01
42.0,White,Gaylords,,834.0,1994-11-01
42.0,White,Gaylords,,1722.0,1997-08-01
42.0,White,Gaylords,,1424.0,1998-03-01
42.0,White,Gaylords,,,1992-10-01
42.0,White,Gaylords,,,1991-10-01
42.0,White,Gaylords,,2533.0,2003-03-01
42.0,White,Gaylords,,1411.0,1995-05-01
42.0,White,Gaylords,,2523.0,1994-01-01
42.0,White,Gaylords,,,1993-03-01
42.0,White,Gaylords,,,1992-10-01
43.0,White,Gaylords,KILBOURN PARK,,1997-05-01
43.0,White,Gaylords,,,1991-03-01
43.0,White,Gaylords,,,1991-10-01
43.0,White,Gaylords,,2432.0,1994-01-01
43.0,White Hispanic,Gaylords,,1713.0,1994-01-01
43.0,White,Gaylords,,1122.0,1997-02-01
43.0,White,Gaylords,,,1990-08-01
43.0,Native Hawaiian and Other Pacific Islander,Gaylords,,,1991-04-01
43.0,White,Gaylords,,2535.0,1996-09-01
43.0,White,Gaylords,,,1992-06-01
43.0,White,Gaylords,,2413.0,1996-04-01
43.0,White,Gaylords,,,1991-02-01
44.0,White,Gaylords,,,1993-02-01
44.0,White,Gaylords,KILBOURN PARK,,1991-06-01
44.0,White,Gaylords,KILBOURN PARK,,1990-01-01
44.0,White,Gaylords,,,1990-05-01
44.0,White,Gaylords,KILBOURN PARK,,1991-09-01
45.0,White,Gaylords,,,1988-08-01
45.0,White,Gaylords,,,1990-02-01
45.0,White,Gaylords,KILBOURN PARK,,2004-08-01
45.0,White,Gaylords,,,1989-09-01
45.0,White,Gaylords,,,1990-01-01
45.0,White Hispanic,Gaylords,,,1989-02-01
45.0,White,Gaylords,,,1993-01-01
45.0,White,Gaylords,,,1990-03-01
