Project Name,City,State,Utility,System Size (kW),Year of Interconnection,Co-located Projects,Ciy Lat,City Long
Adams Community Array 1,Adams,MA,National Grid,1384.32,2015.0,,42.043366,-71.927603
Arlington Church Project,Arlington,MA,Eversource,19.8,2016.0,,42.4167945,-71.1705527
Belechertown Solar,Belchertown,MA,National Grid,1266.35,2016.0,,42.272433,-72.39453784
Bolton 2,Bolton,MA,National Grid,2794.995,2016.0,,41.637603999999996,-70.903649
The Lofts at Westinghouse,Boston,MA,Eversource,211.896,2016.0,,41.637603999999996,-70.903649
Bourne Community Solar 1,Bourne,MA,Eversource,1300.0,2015.0,,42.583422999999996,-71.802296
Brewster Community Solar Garden Cooperative,Brewster,MA,Eversource,345.6,2012.0,,41.747186,-70.06797595
Long Pond Road,Brewster,MA,Eversource,73.2,2016.0,,41.747186,-70.06797595
"Cambridge Community Housing, Inc",Cambridge,MA,Eversource,26.4,2015.0,,42.440719,-72.799399
Cornerstone Village CoHousing,Cambridge,MA,Eversource,45.453,2015.0,,42.440719,-72.799399
Pemberton Place Condiminium Associated Energy,Cambridge,MA,Eversource,30.35,2017.0,,41.764752,-71.00999721
Canton Solar 2,Canton,MA,Eversource,526.68,2017.0,,42.207039,-71.685624
Carver Community Solar (CEC Solar #1043),Carver,MA,Eversource,2694.0,2016.0,,42.341757,-72.588422
Charlton 48,Charlton,MA,National Grid,3081.33,2017.0,,42.366002,-72.577947
Clarksburg Community Solar,Clarksburg,MA,National Grid,1316.7,2017.0,,42.543138,-73.323718
BWC Buckmaster Pond LLC,Dover,MA,Eversource,1419.84,2017.0,,42.241611999999996,-71.28413355
Dudley Solar 1,Dudley,MA,National Grid,472.32,2017.0,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 2,Dudley,MA,National Grid,645.12,2017.0,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 3,Dudley,MA,National Grid,645.12,2017.0,Dudley Solar Array,42.4997805,-71.58513504
Dudley Solar 4,Dudley,MA,National Grid,645.12,2017.0,Dudley Solar Array,42.4997805,-71.58513504
Farley Road Solar,Dudley,MA,National Grid,1297.89,2017.0,,42.200097,-71.42450500000001
BWC Tinkham,Fairhaven,MA,Eversource,1095.85,2016.0,,41.631612,-70.87544162
279 Mill Road,Fairhaven,MA,Eversource,2378.88,2017.0,,41.631612,-70.87544162
Fitchburg Solar,Fitchburg,MA,Unitil,696.96,2017.0,,42.5906605,-71.81616452
27 Locust Street Solar,Freetown,MA,Eversource,1113.21,2015.0,,41.764752,-71.00999721
Lazy A Solar,Freetown,MA,Eversource,63.0,2017.0,,41.764752,-71.00999721
"Ngrid Rayo Goshen A, CEC Solar #1052",Goshen,MA,National Grid,1185.6,2017.0,,41.993275,-70.72847800000001
,Grafton,MA,National Grid,3700.0,2017.0,,42.2072475,-71.6840613
WMECO Solar Array 1 Huntington,Hadley,MA,Eversource,996.6,2014.0,Allard's Farm Community Solar,41.7176715,-70.77771632
Allard's Farm Community Solar Project (Hadley 2),Hadley,MA,Eversource,2411.955,2016.0,Allard's Farm Community Solar,41.75,-70.78
Brodie Mtn Road Solar,Hancock,MA,National Grid,2258.96,2015.0,,42.5273435,-73.32166379
Hardwick Solar 1,Hardwick,MA,National Grid,646.38,2017.0,,42.355920000000005,-72.21056268
Hardwick Solar 2,Hardwick,MA,National Grid,649.085,2017.0,,42.104245,-72.318952
Harvard Solar Garden II,Harvard,MA,National Grid,54.71,2014.0,Harvard Solar Garden,42.4997805,-71.58513504
