"World TOP 20 Countries with highest primary energy production 
 in 2014 (Mtoe)", ,Biodiesel,Biomass and Waste Elec,Coal,Fuel Ethanol,Gas,Geothermal Elec,Hydroelectricity,Nuclear,Oil,"Solar, Tide and Wave Elec",Wind Elec
United States of America,,3.0284576738566686,6.790250546686011,462.1620019601034,28.334481572961767,665.6015658057529,1.5966436961917223,22.295675679362347,207.68336594618492,708.3330555416667,1.6176553936062756,15.657771800283712
China,,0.675906051636313,3.7451040412725707,1622.2453906427268,1.2758862624657754,113.15269759854081,0.013929492691315564,76.5262252794497,34.023815107220095,231.78068031249998,1.0245241978062511,12.757329982774786
Russian Federation & U.S.S.R.,,-,0.24075666380051589,170.43963907206634,-,547.8231845942861,0.043422184006878764,15.29767841788478,44.04700487245629,550.1836097777779,-,0.00034393809114359415
Saudi Arabia,,-,-,-,-,98.07784764006479,-,-,-,589.2568694097222,-,-
Canada,,0.17280418582273505,0.6345657781599312,36.79922318271647,1.0734660804984772,138.87559888197475,-,32.26951907604797,26.295915192506392,222.20972483333335,0.06824391077064133,0.988953630182493
Indonesia,,2.650244925180886,0.01573681893823724,289.3144149558073,-,69.4783484754738,0.9772268338171194,1.333276010318143,-,46.19748323611111,1.7196904557179708e-05,0.0005100146679484093
India,,0.1558560185918688,0.35466809974204644,260.03840855591466,0.2826927796652139,29.86680982675719,-,11.224333619948409,8.658641444539985,49.555003666666664,0.4890365994151922,3.008994396066016
Australia,,0.0500184887259695,0.20185465473858427,245.21238588051756,0.13048537191433107,63.699008164664306,0.0007469397595320213,1.5403267411865866,-,24.228911902777778,0.22591124219718614,0.6945445673847224
Iran (Islamic Republic of),,-,0.0021973822506101332,0.6907575403690962,-,159.49592093609692,-,1.2666380051590713,1.0787149220141297,171.07752879166665,-,0.02579535683576956
Qatar,,-,-,-,-,157.3711646056889,-,-,-,104.16308051388889,-,-
Brazil,,2.4669651649305098,4.90894663300093,2.164600988745723e-05,14.541219735941564,20.530705494415454,-,33.28306104901118,4.008702675942572,149.53212527777777,7.003183430264327e-05,0.5558899398108325
United Arab Emirates,,-,-,-,-,53.81656297303449,-,-,-,175.93951585416664,0.0016381818395971451,-
Norway,,-,0.12751504729148755,1.3008822006041882,-,102.93485331795917,-,10.934651762682718,-,96.5416457986111,0.0882201203783319,0.21754118038443196
