state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxdate=1514678400&mindate=1483228800
OK,01/01/2017,,uir,7.2,,74055,Residential,,5.42,39000,,,Owasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01/04/2017,,uir,3000.0,,36912,Commercial,,,,,,Lisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,01/06/2017,,uir,1111.59,,75211,Commercial,Axium Solar,,,,,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,01/06/2017,,uir,16.12,,13041,Residential,Paradise Energy Solutions,3.25,52410,,,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,01/06/2017,,uir,89.28,,17406,Commercial,Paradise EnergySolutions,2.5,222970,,,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,01/09/2017,,uir,8.48,,76140,Residential,Axium Solar,3.04,25779,,,Kennedale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,01/11/2017,,uir,39.06,,12010,Commercial,Paradise Energy Solutions,2.84,110989,,,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,01/11/2017,,uir,8.37,,14850,Residential,Paradise Energy Solutions,3.27,27410,,,Ithaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,01/17/2017,,uir,9.405,,16125,Residential,Solar Revolution,3.15,29625,,,Greenville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,01/17/2017,,uir,6.2,,44628,Residential,Paradise EnergySolutions,3.4,21080,,,Glenmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
