state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxdate=1534723200&mindate=1514764800
TX,01/03/2018,,uir,5.775,,76034,Residential,Axium Solar,,,,,Colleyville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,01/10/2018,,uir,10.89,,19335,Residential,Paradise Energy Solutions LLC,2.98,32440,,,Downingtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,01/12/2018,,uir,9.57,,22802,Residential,Paradise Energy Solutions LLC,2.61,25000,,,Harrisonburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,01/15/2018,,uir,15.18,,14551,Residential,Paradise Energy Solutions LLC,3.12,47360,,,Sodus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,01/26/2018,,uir,66.66,,21218,Commercial,Paradise Energy Solutions LLC,4.24,282500,,,Baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,01/26/2018,,uir,14.52,,17771,Agricultural,Paradise Energy Solutions LLC,3.63,52690,,,Trout Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,01/29/2018,,uir,146.52,,12603,Commercial,Paradise Energy Solutions LLC,2.13,311870,,,Poughkeepsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,01/30/2018,,uir,6.93,,21869,Agricultural,Paradise Energy Solutions LLC,3.93,27230,,,Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,01/30/2018,,uir,22.77,,44730,Commercial,Paradise Energy Solutions LLC,2.48,56540,,,East Canton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,01/30/2018,,uir,7.84,,44663,Residential,Paradise Energy Solutions LLC,2.87,22500,,,New Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,02/08/2018,,uir,137.28,,12010,Commercial,Paradise Energy Solutions LLC,2.2,302400,,,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,02/09/2018,,uir,41.54,,75752,Residential,Axium Solar,,,,,Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,02/09/2018,,uir,7.8,,76244,Residential,Axium Solar,3.52,27450,,,Fort Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,02/09/2018,,uir,8.25,,44840,Residential,Paradise Energy Solutions LLC,2.83,23330,,,Jeromesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
