City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Frisco, Texas",163816,177286,13470,8.2,Texas
"New Braunfels, Texas",73319,79152,5833,8.0,Texas
"Pflugerville, Texas",59507,63359,3852,6.5,Texas
"Ankeny, Iowa",58639,62416,3777,6.4,Iowa
"Buckeye, Arizona",64639,68453,3814,5.9,Arizona
"Georgetown, Texas",67068,70685,3617,5.4,Texas
"Castle Rock town, Colorado",59255,62276,3021,5.1,Colorado
"Franklin, Tennessee",74685,78321,3636,4.9,Tennessee
"McKinney, Texas",172984,181330,8346,4.8,Texas
"Meridian, Idaho",95436,99926,4490,4.7,Idaho
"Flower Mound town, Texas",73503,76681,3178,4.3,Texas
"Bend, Oregon",90615,94520,3905,4.3,Oregon
"Cedar Park, Texas",72630,75704,3074,4.2,Texas
"Doral, Florida",58680,61130,2450,4.2,Florida
"Fort Myers, Florida",76741,79943,3202,4.2,Florida
"Irvine, California",266385,277453,11068,4.2,California
"Gilroy, California",55396,57664,2268,4.1,California
"Mansfield, Texas",66271,68928,2657,4.0,Texas
"Murfreesboro, Tennessee",131433,136372,4939,3.8,Tennessee
"Lake Elsinore, California",64088,66411,2323,3.6,California
"Henderson, Nevada",292005,302539,10534,3.6,Nevada
"Grapevine, Texas",52104,53982,1878,3.6,Texas
"Edinburg, Texas",87179,90280,3101,3.6,Texas
"St. George, Utah",81631,84405,2774,3.4,Utah
"Conroe, Texas",81630,84378,2748,3.4,Texas
"Rocklin, California",62733,64838,2105,3.4,California
"Mount Pleasant town, South Carolina",83856,86668,2812,3.4,South Carolina
"South Jordan, Utah",68679,70954,2275,3.3,Utah
"Lehi, Utah",60743,62712,1969,3.2,Utah
"Bonita Springs, Florida",54366,56088,1722,3.2,Florida
"Goodyear, Arizona",77411,79858,2447,3.2,Arizona
"Auburn, Washington",78327,80776,2449,3.1,Washington
"Redmond, Washington",62359,64291,1932,3.1,Washington
"Pearland, Texas",116360,119940,3580,3.1,Texas
"Caldwell, Idaho",53039,54660,1621,3.1,Idaho
"Leesburg town, Virginia",52617,54215,1598,3.0,Virginia
"Manteca, California",76935,79268,2333,3.0,California
"Salt Lake City, Utah",194653,200544,5891,3.0,Utah
"Eastvale, California",61369,63211,1842,3.0,California
"Port St. Lucie, Florida",183837,189344,5507,3.0,Florida
"Clovis, California",106550,109691,3141,2.9,California
"Bradenton, Florida",54890,56508,1618,2.9,Florida
"Nampa, Idaho",90917,93590,2673,2.9,Idaho
"Parker town, Colorado",52657,54202,1545,2.9,Colorado
"North Port, Florida",64439,66300,1861,2.9,Florida
"Brentwood, California",60688,62433,1745,2.9,California
"Richland, Washington",54690,56243,1553,2.8,Washington
"Lakeville, Minnesota",62000,63748,1748,2.8,Minnesota
"Atlanta, Georgia",472967,486290,13323,2.8,Georgia
"Casa Grande, Arizona",53960,55477,1517,2.8,Arizona
"Cape Coral, Florida",178379,183365,4986,2.8,Florida
"Richardson, Texas",113608,116783,3175,2.8,Texas
"Noblesville, Indiana",60215,61882,1667,2.8,Indiana
"Broomfield, Colorado",66509,68341,1832,2.8,Colorado
"League City, Texas",102093,104903,2810,2.8,Texas
"Port Orange, Florida",61531,63203,1672,2.7,Florida
"Tigard, Oregon",51768,53148,1380,2.7,Oregon
"San Marcos, Texas",61458,63071,1613,2.6,Texas
"Commerce City, Colorado",54497,55923,1426,2.6,Colorado
"Concord, North Carolina",89720,92067,2347,2.6,North Carolina
"Clarksville, Tennessee",149407,153205,3798,2.5,Tennessee
"Kissimmee, Florida",69345,71104,1759,2.5,Florida
"Chino, California",87599,89797,2198,2.5,California
"Jurupa Valley, California",103440,106028,2588,2.5,California
"Tampa, Florida",376047,385430,9383,2.5,Florida
"Seattle, Washington",707255,724745,17490,2.5,Washington
"Palm Coast, Florida",84446,86516,2070,2.5,Florida
"Bellingham, Washington",86926,89045,2119,2.4,Washington
"Peoria, Arizona",164205,168181,3976,2.4,Arizona
"Menifee, California",88465,90595,2130,2.4,California
"College Station, Texas",110908,113564,2656,2.4,Texas
"Round Rock, Texas",120848,123678,2830,2.3,Texas
"Waco, Texas",133321,136436,3115,2.3,Texas
