SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
040,13,000,00000,00000,00000,0,A,Georgia,Georgia,9687653,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
162,13,000,00184,00000,00000,0,A,Abbeville city,Georgia,2908,2910,2910,2905,2887,2889,2814,2819,2775,2789
162,13,000,00408,00000,00000,0,A,Acworth city,Georgia,20425,20453,20517,20765,21252,21518,21887,22157,22530,22698
162,13,000,00436,00000,00000,0,A,Adairsville city,Georgia,4648,4648,4646,4655,4662,4698,4715,4739,4786,4849
162,13,000,00576,00000,00000,0,A,Adel city,Georgia,5334,5331,5324,5289,5236,5261,5326,5254,5295,5317
162,13,000,00660,00000,00000,0,A,Adrian city,Georgia,664,664,665,659,666,667,662,652,652,645
162,13,000,00828,00000,00000,0,A,Ailey city,Georgia,432,548,553,546,549,542,542,541,542,543
162,13,000,00996,00000,00000,0,A,Alamo town,Georgia,2797,2797,3133,3474,3374,3378,3390,3325,3394,3370
162,13,000,01024,00000,00000,0,A,Alapaha town,Georgia,668,668,670,671,659,661,654,659,661,667
162,13,000,01052,00000,00000,0,A,Albany city,Georgia,77434,77434,77420,77889,77529,76390,75942,74929,73953,73179
162,13,000,01248,00000,00000,0,A,Aldora town,Georgia,103,103,103,102,102,102,102,103,104,105
162,13,000,01472,00000,00000,0,A,Allenhurst city,Georgia,695,769,756,787,788,767,778,743,739,738
162,13,000,01500,00000,00000,0,A,Allentown city,Georgia,169,171,170,168,167,165,164,161,159,158
162,13,000,01612,00000,00000,0,A,Alma city,Georgia,3466,3468,3468,3507,3489,3483,3467,3493,3507,3484
162,13,000,01696,00000,00000,0,A,Alpharetta city,Georgia,57551,57384,57701,59223,61680,62020,62840,63494,65451,65799
162,13,000,01808,00000,00000,0,A,Alston town,Georgia,159,159,159,157,156,156,156,154,156,156
162,13,000,01948,00000,00000,0,A,Alto town,Georgia,1172,1172,1172,1166,1156,1161,1165,1166,1168,1177
162,13,000,02060,00000,00000,0,A,Ambrose city,Georgia,380,380,380,377,379,383,380,383,382,384
162,13,000,02116,00000,00000,0,A,Americus city,Georgia,17041,17099,17003,16652,16366,16211,16153,15846,15663,15400
162,13,000,02256,00000,00000,0,A,Andersonville city,Georgia,255,255,255,251,247,246,243,240,237,233
162,13,000,02564,00000,00000,0,A,Arabi town,Georgia,586,586,586,592,591,584,574,571,569,567
162,13,000,02592,00000,00000,0,A,Aragon city,Georgia,1249,1268,1270,1258,1251,1250,1239,1250,1252,1252
162,13,000,02648,00000,00000,0,A,Arcade city,Georgia,1786,1805,1811,1814,1805,1814,1828,1847,1867,1893
162,13,000,02844,00000,00000,0,A,Argyle town,Georgia,212,212,211,210,210,213,213,215,213,211
162,13,000,02928,00000,00000,0,A,Arlington city,Georgia,1479,1476,1475,1452,1439,1434,1416,1419,1391,1387
162,13,000,03124,00000,00000,0,A,Arnoldsville city,Georgia,357,355,355,351,347,345,347,352,353,357
162,13,000,03236,00000,00000,0,A,Ashburn city,Georgia,4152,4152,4136,4135,3912,3803,3730,3688,3687,3683
162,13,000,03440,00000,00000,0,F,Athens-Clarke County unified government (balance),Georgia,115452,115486,116213,117163,118860,119804,119424,122557,123670,125691
162,13,000,04000,00000,00000,0,A,Atlanta city,Georgia,420003,420425,422849,431729,443008,447812,455589,463479,472967,486290
162,13,000,04084,00000,00000,0,A,Attapulgus city,Georgia,449,449,448,444,443,442,436,435,432,431
162,13,000,04140,00000,00000,0,A,Auburn city,Georgia,6887,7030,7059,7059,7065,7130,7198,7454,7555,7622
162,13,000,04204,00000,00000,0,F,Augusta-Richmond County consolidated government (balance),Georgia,195844,195837,196165,195682,196859,196435,196607,196930,197357,197166
162,13,000,04252,00000,00000,0,A,Austell city,Georgia,6581,6633,6644,6719,6773,6826,6981,7138,7192,7215
162,13,000,04392,00000,00000,0,A,Avalon town,Georgia,213,213,213,210,210,207,206,206,210,211
162,13,000,04448,00000,00000,0,A,Avera city,Georgia,246,246,245,242,238,235,233,230,226,226
162,13,000,04644,00000,00000,0,A,Avondale Estates city,Georgia,2960,2954,2956,2985,3030,3058,3088,3129,3159,3173
162,13,000,04840,00000,00000,0,A,Baconton city,Georgia,915,914,915,906,896,889,877,867,854,848
162,13,000,04896,00000,00000,0,A,Bainbridge city,Georgia,12697,12697,12676,12651,12520,12501,12369,12358,12097,12111
162,13,000,04980,00000,00000,0,A,Baldwin city,Georgia,3279,3281,3283,3274,3279,3274,3288,3280,3305,3323
162,13,000,05036,00000,00000,0,A,Ball Ground city,Georgia,1433,1437,1441,1456,1474,1487,1665,1729,1912,2041
162,13,000,05344,00000,00000,0,A,Barnesville city,Georgia,6755,6758,6698,6676,6514,6441,6616,6569,6616,6512
162,13,000,05680,00000,00000,0,A,Bartow town,Georgia,286,286,284,281,275,271,267,263,260,259
162,13,000,05708,00000,00000,0,A,Barwick city,Georgia,386,386,385,382,378,380,382,381,381,378
162,13,000,06016,00000,00000,0,A,Baxley city,Georgia,4400,4655,4675,4692,4692,4712,4721,4704,4716,4713
162,13,000,06688,00000,00000,0,A,Bellville city,Georgia,123,123,123,123,119,120,122,120,119,120
162,13,000,07248,00000,00000,0,A,Berkeley Lake city,Georgia,1574,1841,1847,1882,1918,1940,1978,2019,2064,2107
162,13,000,07304,00000,00000,0,A,Berlin city,Georgia,551,558,559,563,565,568,564,560,560,561
162,13,000,07612,00000,00000,0,A,Bethlehem town,Georgia,601,613,616,616,619,628,644,663,681,696
162,13,000,07640,00000,00000,0,A,Between town,Georgia,296,296,296,299,300,303,313,322,339,358
162,13,000,08200,00000,00000,0,A,Bishop town,Georgia,224,224,224,225,228,232,240,245,252,261
162,13,000,08284,00000,00000,0,A,Blackshear city,Georgia,3445,3439,3448,3440,3468,3507,3508,3525,3531,3516
162,13,000,08480,00000,00000,0,A,Blairsville city,Georgia,652,660,622,570,570,572,558,550,571,611
162,13,000,08536,00000,00000,0,A,Blakely city,Georgia,5068,5068,5044,4933,4847,4805,4755,4746,4657,4656
162,13,000,08844,00000,00000,0,A,Bloomingdale city,Georgia,2713,2650,2652,2692,2712,2704,2732,2743,2758,2752
162,13,000,08928,00000,00000,0,A,Blue Ridge city,Georgia,1290,1341,1336,1329,1328,1334,1334,1360,1392,1407
162,13,000,08956,00000,00000,0,A,Bluffton town,Georgia,103,103,103,102,102,97,100,101,97,97
162,13,000,09040,00000,00000,0,A,Blythe city,Georgia,721,719,720,716,720,716,711,711,707,706
162,13,000,09068,00000,00000,0,A,Bogart town,Georgia,1034,1037,1038,1043,1045,1051,1041,1050,1066,1091
162,13,000,09460,00000,00000,0,A,Boston city,Georgia,1315,1315,1316,1312,1316,1321,1325,1325,1332,1315
